,qid,query
439,5592,are hard money loans meant only for real estate
454,879,capital improvement and depreciation in restaurant llc
535,7141,do investors go long option contracts when they cannot cover the exercise of the options
320,7467,stocks are traded on secondary markets
111,3480,why is okpay not allowed in the united states
595,2885,merits of buying apartment houses and renting them
427,5185,invest in low cost small cap index funds when saving towards retirement
224,7925,can i sell a stock immediately
564,2383,should i purchase health insurance through my s corp
73,10482,rollover into bond fund to do dollar cost averaging duplicate
566,104,investing business with other people s money how does it work
378,5206,is it a good idea to get an unsecured loan to pay off a credit card that won t lower a high rate
456,3051,what items are exempt from the vat u k
601,1309,why does flagstar bank harass you about payments within grace period
364,3822,how to change a large quantity of u s dollars into euros
48,7928,if i believe a stock is going to fall what options do i have to invest on this
86,5054,how to stress test an investment plan
426,5172,does interest payment on loan stay the same if i pay early
9,6715,what does it mean if ipos normally are sold with an underwriting discount a built in commission
36,5271,why are auto leases stubbornly strict about visa status and how to work around that
71,8247,tax on stocks or etf s
177,7734,can pe ratio of stocks be compared to other investments
12,4465,how to donate to charity that will make a difference
90,7269,how do i track investment performance in quicken across rollovers
615,2747,what evidence do i need to declare tutoring income on my income tax
248,7463,pros cons of borrowing money using a mortgage loan and investing it in a low fee index fund
347,2587,typically how many digits are in a cheque number
469,9882,money market or cash type etfs for foreigners with u s brokerage account
126,585,following an investment guru a good idea
418,10414,what is considered high or low when talking about volume
124,10734,how do you translate a per year salary into a part time per hour job
109,8351,what happens when a calendar spread is assigned in a non margin account
56,5741,learning investing and the stock market
171,4955,how to calculate the value of a bond that is priced to yield x
522,7533,investing tax savings
419,6814,selling stock all or nothing
154,3006,strategies for putting away money for a child s future college etc
402,5347,car loan life insurance
25,7279,if i invest in securities denominated in a foreign currency should i hedge my currency risk
349,9871,what should i do with the 50k i have sitting in a european bank
383,9060,buying puts without owning underlying
42,4415,how much is inflation
371,8002,what is the tax treatment of scrip dividends in the uk
106,11088,am i required to have a lawyer create oversee creation of my will
261,5155,for insurance why should you refuse 4 000 year for only 10 years and prefer 500 year indefinitely
609,3934,should market based health insurance premiums be factored into 6 months emergency fund savings
276,2648,how does unemployment insurance work
271,6849,what do the points in a stock market index epresent
310,8832,is it possible to buy commodity etfs e g silver through questrade
579,7936,why naked call writing is risky compare to covered call
107,18,1 ein doing business under multiple business names
625,10558,investment strategy for 401k when rolling over soon
326,4394,transfer 50k to another person s account in california usa
255,3767,what should i be doing to protect myself from identity theft
83,9291,are there any consequences for investing in vanguard s admiral shares funds instead of etf s in a roth ira
40,5981,is it a good investment for a foreigner to purchase a flat apartment in china
221,6611,how does vanguard determine the optimal asset allocation for their target retirement funds
68,6896,selling high pay capital gains re purchase later
139,10137,f 1 student investing in foreign markets
431,2348,why can t you just have someone invest for you and split the profits and losses with him
151,106,what approaches are there for pricing a small business
386,6683,who are the sellers for the new public stocks
546,1391,how is taxation for youtube twitch etc monetization handled in the uk
510,10912,forex independent investments
158,4942,find stock composition of a publicly traded fund
54,2376,why do gas stations charge different amounts in the same local area
290,3759,simplifying money management
608,3932,how do historically low interest rates affect real estate prices
282,2516,which banks have cash deposit machines in germany
474,1321,are social media accounts e g youtube twitter instagram etc considered assets
616,1933,uk sole trader who often buys products services on behalf of clients do i deduct from declared income or claim as allowable expenses
584,5549,pros cons of being more involved with ira investments duplicate
561,1670,investing in hemp producers in advance of possible legalization in canada
323,3264,pros and cons of interest only loans
590,9088,brokerage account for charity
300,859,any reason to keep around my account with my old big bank
480,4084,what industries soar when oil prices go up
430,5906,0 apr first 12 months on new credit card can i exceed that 30 rule of thumb and not hurt my credit score
393,4640,what can my relatives do to minimize their out of pocket expenses on their fathers estate
392,2465,can capital expenses for volunteer purposes be deducted from income
450,7431,pay off mortgage or invest in high value saving account
240,6468,why deep in the money options have very low liquidity
463,10109,why does charles schwab have a mandatory settlement period after selling stocks
284,8970,what s the difference if any between stock appreciation and compound interest
497,3859,buying an investment property in australia what are the advantages and disadvantages of building a house vs buying an existing one
313,7206,who bought a large number of shares
517,4411,how does the importance of a cash emergency fund change when you live in a country with nationalized healthcare
97,4700,better to get loan from finance company or bank considering the drop of credit score
13,7326,do brokers execute every trade on the exchange
330,8982,are exchange traded funds etfs less safe than regular mutual funds
544,2598,is it possible for us retail forex traders to trade exotic currencies
119,5402,is it impossible to get a home loan with a poor credit history after a divorce
373,2891,may i claim money earned but not received in 2012
66,2857,i have around 60k thinking about investing in oil how to proceed
225,4286,given advice buy term insurance and invest the rest how should one invest the rest
185,988,where should i invest my savings
64,5150,what credit card information are offline us merchants allowed to collect for purposes other than the transaction
475,10710,probablity of touching in the money vs expiring in the money for an american option
353,3179,calculation timing and taxes related to profit distribution of an s corp
47,3405,non resident aliens question of standard vs itemized
